bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
440237,218879,2013-01-04,House,"On Motion to Suspend the Rules and Pass",354,67,8,0,429
440461,218634,2013-01-15,House,"On Agreeing to the Amendment",162,258,12,0,432
440461,218635,2013-01-15,House,"On Agreeing to the Amendment",327,91,14,0,432
440461,218636,2013-01-15,House,"On Agreeing to the Amendment",221,197,14,0,432
440461,218637,2013-01-15,House,"On Agreeing to the Amendment",206,214,12,0,432
440461,218638,2013-01-15,House,"On Agreeing to the Amendment",202,217,13,0,432
440461,218639,2013-01-15,House,"On Agreeing to the Amendment",216,205,11,0,432
440461,218640,2013-01-15,House,"On Agreeing to the Amendment",208,212,12,0,432
440461,218641,2013-01-15,House,"On Agreeing to the Amendment",223,198,11,0,432
440461,218642,2013-01-15,House,"On Agreeing to the Amendment",228,192,12,0,432
440461,218643,2013-01-15,House,"On Passage",241,180,11,0,432
440461,222297,2013-01-28,Senate,"On the Amendment S.Amdt. 4 to H.R. 152 (Disaster Relief Appropriations Act, 2013)",35,62,3,0,100
440461,222298,2013-01-28,Senate,"On Passage of the Bill H.R. 152",62,36,2,0,100
440522,219410,2013-01-03,House,"On Motion to Table the Motion to Refer",224,187,18,0,429
440522,219411,2013-01-03,House,"On Ordering the Previous Question",227,191,11,0,429
440522,219412,2013-01-03,House,"On Motion to Commit",194,229,6,0,429
440522,219413,2013-01-03,House,"On Agreeing to the Resolution",228,196,5,0,429
440620,303631,2013-10-22,House,"On Motion to Suspend the Rules and Pass",402,1,27,0,430
440626,279364,2013-05-14,House,"On Motion to Suspend the Rules and Pass, as Amended",406,2,24,0,432
440735,382837,2014-12-11,House,"On Motion to Concur in the Senate Amendment with an Amendment",219,206,10,0,435
440735,383406,2014-12-13,Senate,"On the Cloture Motion H.R. 83",77,19,4,0,100
440735,383407,2014-12-13,Senate,"On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 83)",56,40,4,0,100
440735,383835,2014-12-13,Senate,"On the Point of Order H.R. 83",22,74,4,0,100
440778,280305,2013-05-16,House,"On Motion to Recommit with Instructions",190,230,13,0,433
440778,280306,2013-05-16,House,"On Passage",229,195,9,0,433
440800,379911,2014-09-17,House,"On Motion to Suspend the Rules and Pass, as Amended",333,92,6,0,431
440816,363576,2014-05-09,House,"On Agreeing to the Amendment",190,205,36,0,431
440816,363577,2014-05-09,House,"On Agreeing to the Amendment",179,220,32,0,431
440816,363578,2014-05-09,House,"On Agreeing to the Amendment",373,32,26,0,431
440816,363579,2014-05-09,House,"On Agreeing to the Amendment",378,27,26,0,431
440816,363580,2014-05-09,House,"On Agreeing to the Amendment",363,41,27,0,431
440816,363581,2014-05-09,House,"On Passage",360,45,27,0,432
440819,312643,2014-01-28,House,"On Motion to Recommit with Instructions",192,221,18,0,431
440819,312644,2014-01-28,House,"On Passage",227,188,16,0,431
440820,375002,2014-06-25,House,"On Agreeing to the Amendment",196,221,15,0,432
440820,375003,2014-06-25,House,"On Motion to Recommit with Instructions",192,225,15,0,432
440820,375004,2014-06-25,House,"On Passage",266,150,16,0,432
440821,296716,2013-07-18,House,"On Agreeing to the Amendment",263,161,9,0,433
440821,296717,2013-07-18,House,"On Agreeing to the Amendment",241,182,10,0,433
440821,296718,2013-07-18,House,"On Agreeing to the Amendment",239,187,7,0,433
440821,296730,2013-07-19,House,"On Agreeing to the Amendment",227,196,10,0,433
440821,296731,2013-07-19,House,"On Agreeing to the Amendment",186,237,10,0,433
440821,296732,2013-07-19,House,"On Agreeing to the Amendment",193,233,7,0,433
440821,296733,2013-07-19,House,"On Motion to Recommit with Instructions",196,231,6,0,433
440821,296734,2013-07-19,House,"On Passage",221,207,6,0,434
440822,379964,2014-09-18,House,"On Motion to Recommit with Instructions",191,218,22,0,431
440822,379965,2014-09-18,House,"On Passage",253,163,15,0,431
440823,282768,2013-05-22,House,"On Agreeing to the Amendment",246,168,19,0,433
440823,282769,2013-05-22,House,"On Agreeing to the Amendment",146,269,18,0,433
440823,282770,2013-05-22,House,"On Agreeing to the Amendment",177,239,17,0,433
440823,282771,2013-05-22,House,"On Agreeing to the Amendment",176,239,18,0,433
440823,282772,2013-05-22,House,"On Agreeing to the Amendment",177,238,18,0,433
440823,282773,2013-05-22,House,"On Agreeing to the Amendment",182,234,17,0,433
440823,282774,2013-05-22,House,"On Agreeing to the Amendment",182,234,17,0,433
440823,282775,2013-05-22,House,"On Agreeing to the Amendment",185,231,17,0,433
440823,282776,2013-05-22,House,"On Agreeing to the Amendment",162,255,16,0,433
440823,282777,2013-05-22,House,"On Motion to Recommit with Instructions",194,223,16,0,433
440823,282778,2013-05-22,House,"On Passage",241,175,17,0,433
440824,379957,2014-09-18,House,"On Motion to Recommit with Instructions",193,222,16,0,431
440824,379958,2014-09-18,House,"On Passage",226,191,14,0,431
452023,218880,2013-01-15,House,"On Ordering the Previous Question",293,127,12,0,432
452023,218881,2013-01-15,House,"On Agreeing to the Resolution",367,52,13,0,432
452170,225395,2013-02-04,House,"On Motion to Suspend the Rules and Pass",375,27,29,0,431
452206,218645,2013-01-14,House,"On Motion to Suspend the Rules and Pass",403,0,26,0,429
455259,299874,2013-09-18,House,"On Motion to Suspend the Rules and Pass, as Amended",402,22,8,0,432
455266,227037,2013-02-04,House,"On Motion to Suspend the Rules and Pass",352,50,29,0,431
455276,276262,2013-05-06,House,"On Motion to Suspend the Rules and Pass",390,2,40,0,432
455305,232671,2013-02-15,House,"On Passage",261,154,16,0,431
455306,304590,2013-11-18,House,"On Motion to Suspend the Rules and Pass, as Amended",388,0,42,0,430
455315,230800,2013-02-13,House,"On Motion to Suspend the Rules and Pass",422,0,9,0,431
455329,281236,2013-05-20,House,"On Motion to Suspend the Rules and Pass",390,3,40,0,433
455334,304866,2013-12-03,House,"On Motion to Suspend the Rules and Pass",406,0,25,0,431
455336,261725,2013-04-09,House,"On Motion to Suspend the Rules and Pass",400,4,27,0,431
455337,289221,2013-06-17,House,"On Motion to Suspend the Rules and Pass, as Amended",397,1,36,0,434
455341,287981,2013-06-11,House,"On Motion to Suspend the Rules and Pass",404,0,30,0,434
455344,265246,2013-04-15,House,"On Motion to Suspend the Rules and Pass",250,159,23,0,432
462928,282031,2013-05-21,House,"On Motion to Suspend the Rules and Pass, as Amended",415,0,18,0,433
463079,373728,2014-06-23,House,"On Motion to Suspend the Rules and Concur in the Senate Amendment",379,3,49,0,431
463249,219553,2013-01-22,House,"On Motion to Suspend the Rules and Pass",395,29,8,0,432
463249,241582,2013-03-04,House,"On Motion to Suspend the Rules and Concur in the Senate Amendment",370,28,33,0,431
464206,220430,2013-01-23,House,"On Motion to Recommit with Instructions",151,277,3,0,431
464206,220431,2013-01-23,House,"On Passage",285,144,3,0,432
464206,224301,2013-01-31,Senate,"On the Motion to Table S.Amdt. 6 to H.R. 325 (No short title on file)",54,44,2,0,100
464206,224302,2013-01-31,Senate,"On the Motion to Table S.Amdt. 7 to H.R. 325 (No short title on file)",52,46,2,0,100
464206,224303,2013-01-31,Senate,"On the Motion to Table S.Amdt. 8 to H.R. 325 (No short title on file)",53,45,2,0,100
464206,224304,2013-01-31,Senate,"On the Motion to Table S.Amdt. 9 to H.R. 325 (No short title on file)",79,19,2,0,100
464206,224305,2013-01-31,Senate,"On the Motion to Table H.R. 325",53,45,2,0,100
464206,224306,2013-01-31,Senate,"On Passage of the Bill H.R. 325",64,34,2,0,100
466390,220254,2013-01-23,House,"On Ordering the Previous Question",232,193,6,0,431
466390,220255,2013-01-23,House,"On Agreeing to the Resolution",234,190,7,0,431
466746,225603,2013-02-04,Senate,"On the Motion to Proceed S. 47",85,8,6,0,99
466746,228128,2013-02-07,Senate,"On the Amendment S.Amdt. 14 to S. 47 (Violence Against Women Reauthorization Act of 2013)",34,65,1,0,100
466746,229041,2013-02-11,Senate,"On the Amendment S.Amdt. 13 to S. 47 (Violence Against Women Reauthorization Act of 2013)",31,59,10,0,100
466746,229873,2013-02-12,Senate,"On the Amendment S.Amdt. 21 to S. 47 (Violence Against Women Reauthorization Act of 2013)",93,5,2,0,100
466746,229874,2013-02-12,Senate,"On the Amendment S.Amdt. 10 to S. 47 (Violence Against Women Reauthorization Act of 2013)",100,0,0,0,100
466746,229875,2013-02-12,Senate,"On the Amendment S.Amdt. 15 to S. 47 (Violence Against Women Reauthorization Act of 2013)",46,53,1,0,100
466746,229876,2013-02-12,Senate,"On the Amendment S.Amdt. 16 to S. 47 (Violence Against Women Reauthorization Act of 2013)",43,57,0,0,100
466746,229877,2013-02-12,Senate,"On Passage of the Bill S. 47",78,22,0,0,100
466746,239565,2013-02-28,House,"On Agreeing to the Amendment",166,257,8,0,431
466746,239566,2013-02-28,House,"On Passage",286,138,7,0,431
466851,319034,2014-02-11,House,"On Motion to Suspend the Rules and Pass, as Amended",326,90,15,0,431
466851,320490,2014-02-12,Senate,"On the Motion (Motion to Concur in the House Amendment to S.25)",95,3,2,0,100
467033,241877,2013-03-05,House,"On Motion to Suspend the Rules and Pass",421,5,5,0,431
470221,314729,2014-02-03,House,"On Motion to Suspend the Rules and Pass, as Amended",390,0,41,0,431
470226,271562,2013-04-24,House,"On Motion to Suspend the Rules and Pass, as Amended",420,0,12,0,432
470237,297038,2013-08-02,House,"On Agreeing to the Amendment",237,176,20,0,433
470237,297039,2013-08-02,House,"On Agreeing to the Amendment",227,185,21,0,433
470237,297040,2013-08-02,House,"On Agreeing to the Amendment",263,152,18,0,433
470237,297041,2013-08-02,House,"On Agreeing to the Amendment",186,229,18,0,433
470237,297042,2013-08-02,House,"On Agreeing to the Amendment",182,235,16,0,433
470237,297043,2013-08-02,House,"On Agreeing to the Amendment",185,232,16,0,433
470237,297044,2013-08-02,House,"On Agreeing to the Amendment",190,226,17,0,433
470237,297045,2013-08-02,House,"On Motion to Recommit with Instructions",185,229,19,0,433
470237,297046,2013-08-02,House,"On Passage",232,183,18,0,433
470263,280193,2013-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended",420,3,10,0,433
473755,299154,2013-09-10,House,"On Motion to Suspend the Rules and Pass",408,1,23,0,432
473811,221934,2013-01-24,Senate,"On the Resolution S.Res. 15",78,16,6,0,100
473815,221935,2013-01-24,Senate,"On the Resolution S.Res. 16",86,9,5,0,100
484770,227168,2013-02-06,House,"On Agreeing to the Amendment",194,228,9,0,431
484770,227169,2013-02-06,House,"On Agreeing to the Amendment",75,348,8,0,431
484770,227170,2013-02-06,House,"On Motion to Recommit with Instructions",194,229,8,0,431
484770,227171,2013-02-06,House,"On Passage",253,167,11,0,431
484770,278114,2013-02-06,House,"On Agreeing to the Amendment",194,228,9,0,431
484770,278115,2013-02-06,House,"On Agreeing to the Amendment",75,348,8,0,431
484770,278116,2013-02-06,House,"On Motion to Recommit with Instructions",194,229,8,0,431
484770,278117,2013-02-06,House,"On Passage",253,167,11,0,431
486167,226195,2013-02-05,House,"On Ordering the Previous Question",229,188,14,0,431
486167,226196,2013-02-05,House,"On Agreeing to the Resolution",228,189,14,0,431
487908,368037,2014-05-28,House,"On Motion to Suspend the Rules and Pass, as Amended",370,0,61,0,431
487914,276285,2013-05-06,House,"On Motion to Suspend the Rules and Pass",401,2,29,0,432
489733,276620,2013-05-06,House,"On Motion to Suspend the Rules and Pass",398,2,32,0,432
489917,273152,2013-04-26,House,"On Agreeing to the Amendment",87,312,33,0,432
489917,273153,2013-04-26,House,"On Motion to Recommit with Instructions",186,211,35,0,432
489917,273154,2013-04-26,House,"On Passage",394,1,37,0,432
489917,301196,2013-09-19,Senate,"On Passage of the Bill H.R. 527",97,2,1,0,100
491435,308337,2014-01-13,House,"On Motion to Suspend the Rules and Pass",387,7,38,0,432
491637,299105,2013-09-10,House,"On Motion to Suspend the Rules and Pass",415,0,17,0,432
492519,230858,2013-02-13,House,"On Motion to Suspend the Rules and Pass",354,72,5,0,431
497737,267579,2013-04-17,House,"On Agreeing to the Amendment",418,0,14,0,432
497737,267580,2013-04-17,House,"On Agreeing to the Amendment",418,0,14,0,432
497737,267581,2013-04-17,House,"On Agreeing to the Amendment",411,3,18,0,432
497737,268761,2013-04-18,House,"On Agreeing to the Amendment",411,0,21,0,432
497737,268762,2013-04-18,House,"On Agreeing to the Amendment",413,0,19,0,432
497737,268763,2013-04-18,House,"On Agreeing to the Amendment",409,5,18,0,432
497737,268764,2013-04-18,House,"On Motion to Recommit with Instructions",189,224,19,0,432
497737,268765,2013-04-18,House,"On Passage",288,127,17,0,432
497741,360817,2014-04-29,House,"On Motion to Suspend the Rules and Pass, as Amended",403,13,15,0,431
497751,288501,2013-06-12,House,"On Motion to Suspend the Rules and Pass, as Amended",411,12,11,0,434
497774,382209,2014-12-03,House,"On Passage",404,17,13,0,434
497805,238015,2013-02-25,House,"On Motion to Suspend the Rules and Pass",394,0,37,0,431
497807,242759,2013-03-05,House,"On Motion to Suspend the Rules and Pass",392,28,11,0,431
497823,262731,2013-04-10,House,"On Agreeing to the Amendment",189,232,10,0,431
497823,262732,2013-04-10,House,"On Motion to Recommit with Instructions",194,226,11,0,431
497823,262733,2013-04-10,House,"On Passage",416,7,8,0,431
497839,232691,2013-02-15,House,"On Motion to Suspend the Rules and Agree, as Amended",412,2,17,0,431
497841,231920,2013-02-14,House,"On Ordering the Previous Question",229,194,8,0,431
497841,231921,2013-02-14,House,"On Agreeing to the Resolution",227,192,12,0,431
497890,299146,2013-09-10,House,"On Motion to Suspend the Rules and Pass",419,1,12,0,432
500141,306192,2014-01-08,House,"On Motion to Suspend the Rules and Pass",405,0,26,0,431
500165,280126,2013-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended",416,6,11,0,433
500179,302821,2013-09-26,House,"On Agreeing to the Amendment",180,227,25,0,432
500179,302822,2013-09-26,House,"On Agreeing to the Amendment",191,217,24,0,432
500181,365369,2014-05-19,House,"On Motion to Suspend the Rules and Pass, as Amended",381,0,50,0,431
501962,288399,2013-06-12,House,"On Motion to Suspend the Rules and Pass",420,2,12,0,434
502846,266561,2013-04-16,House,"On Motion to Suspend the Rules and Pass, as Amended",402,16,14,0,432
503159,299865,2013-09-18,House,"On Agreeing to the Amendment",187,241,4,0,432
503159,299866,2013-09-18,House,"On Agreeing to the Amendment",189,237,6,0,432
503159,299867,2013-09-18,House,"On Agreeing to the Amendment",186,240,6,0,432
503159,299868,2013-09-18,House,"On Agreeing to the Amendment",191,235,6,0,432
503159,299869,2013-09-18,House,"On Motion to Recommit with Instructions",197,229,6,0,432
503159,299870,2013-09-18,House,"On Passage",246,178,8,0,432
503538,279732,2013-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended",415,1,16,0,432
506359,232752,0000-00-00,House,"On Agreeing to the Resolution",222,190,19,0,431
506487,308685,2014-01-14,House,"On Motion to Suspend the Rules and Pass",417,4,11,0,432
515455,237666,2013-02-26,House,"On Motion to Suspend the Rules and Agree",411,3,17,0,431
515468,278069,2013-05-09,House,"On Agreeing to the Amendment",340,84,8,0,432
515468,278070,2013-05-09,House,"On Motion to Recommit with Instructions",200,227,5,0,432
515468,278071,2013-05-09,House,"On Passage",221,207,4,0,432
515472,249376,2013-03-15,House,"On Agreeing to the Amendment",192,227,12,0,431
515472,249377,2013-03-15,House,"On Motion to Recommit with Instructions",184,233,14,0,431
515472,249378,2013-03-15,House,"On Passage",215,202,15,0,432
515472,374484,2014-06-25,Senate,"On the Amendment S.Amdt. 3379 to S.Amdt. 3378 to H.R. 803 (SKILLS Act)",33,63,4,0,100
515472,374485,2014-06-25,Senate,"On the Amendment S.Amdt. 3380 to S.Amdt. 3378 to H.R. 803 (SKILLS Act)",40,58,2,0,100
515472,374486,2014-06-25,Senate,"On Passage of the Bill H.R. 803",95,3,2,0,100
515472,375740,2014-07-09,House,"On Motion to Suspend the Rules and Concur in the Senate Amendments",415,6,11,0,432
517212,238751,2013-02-27,House,"On Ordering the Previous Question",229,196,6,0,431
517212,238752,2013-02-27,House,"On Agreeing to the Resolution",414,9,8,0,431
517224,250400,2013-03-18,House,"On Motion to Suspend the Rules and Agree",386,0,45,0,431
517227,250147,2013-03-18,House,"On Motion to Suspend the Rules and Agree",388,0,43,0,431
519455,297021,2013-07-31,House,"On Motion to Suspend the Rules and Pass, as Amended",400,20,14,0,434
519468,289132,2013-06-17,House,"On Motion to Suspend the Rules and Pass",395,1,38,0,434
519469,363048,2014-05-07,House,"On Motion to Suspend the Rules and Pass, as Amended",383,33,15,0,431
519483,289137,2013-06-17,House,"On Motion to Suspend the Rules and Pass",398,0,36,0,434
519490,239460,2013-02-28,Senate,"On Cloture on the Motion to Proceed S. 16",38,62,0,0,100
519497,239580,2013-02-28,Senate,"On Cloture on the Motion to Proceed S. 388",51,49,0,0,100
519497,239581,2013-02-28,Senate,"On Cloture on the Motion to Proceed S. 388",51,49,0,0,100
520847,265150,2013-04-15,House,"On Motion to Suspend the Rules and Pass, as Amended",407,0,25,0,432
520861,248180,2013-03-13,House,"On Motion to Recommit with Instructions",199,230,2,0,431
520861,248181,2013-03-13,House,"On Passage",246,181,4,0,431
520876,332124,2014-02-28,House,"On Agreeing to the Amendment",185,224,21,0,430
520876,332125,2014-02-28,House,"On Agreeing to the Amendment",194,216,20,0,430
520876,332126,2014-02-28,House,"On Agreeing to the Amendment",180,232,18,0,430
520876,332127,2014-02-28,House,"On Motion to Recommit with Instructions",192,218,20,0,430
520876,332128,2014-02-28,House,"On Passage",234,176,20,0,430
521008,241839,2013-03-05,Senate,"On the Amendment S.Amdt. 25 to S.Res. 64 (No short title on file)",44,53,3,0,100
521009,282543,2013-05-22,Senate,"On the Resolution S.Res. 65",99,0,1,0,100
523313,242529,2013-03-06,House,"On Motion to Recommit with Instructions",188,231,12,0,431
523313,242530,2013-03-06,House,"On Passage",267,151,13,0,431
523313,248122,2013-03-13,Senate,"On the Amendment S.Amdt. 30 to S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",45,52,3,0,100
523313,248123,2013-03-13,Senate,"On the Motion to Table S.Amdt. 33 to S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",48,50,2,0,100
523313,249040,2013-03-14,Senate,"On the Amendment S.Amdt. 53 to S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",54,45,1,0,100
523313,249041,2013-03-14,Senate,"On the Amendment S.Amdt. 66 to S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",45,54,1,0,100
523313,249983,2013-03-18,Senate,"On the Cloture Motion S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",63,35,2,0,100
523313,251564,2013-03-20,Senate,"On the Amendment S.Amdt. 69 to S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",48,51,1,0,100
523313,251565,2013-03-20,Senate,"On the Amendment S.Amdt. 93 to S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",45,54,1,0,100
523313,251566,2013-03-20,Senate,"On the Amendment S.Amdt. 115 to S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",40,59,1,0,100
523313,251567,2013-03-20,Senate,"On the Amendment S.Amdt. 26 to H.R. 933 (Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013)",70,29,1,0,100
523313,251568,2013-03-20,Senate,"On the Cloture Motion H.R. 933",63,36,1,0,100
523313,251569,2013-03-20,Senate,"On Passage of the Bill H.R. 933",73,26,1,0,100
523313,251778,2013-03-21,House,"On Motion to Concur in the Senate Amendments",318,109,4,0,431
523316,376235,2014-07-28,House,"On Motion to Suspend the Rules and Pass",253,148,31,0,432
523316,376295,2014-07-31,House,"On Motion to Recommit with Instructions",195,233,4,0,432
523316,376296,2014-07-31,House,"On Passage",267,161,4,0,432
523322,335364,2014-03-05,House,"On Motion to Suspend the Rules and Pass, as Amended",410,1,19,0,430
524549,299106,2013-09-10,House,"On Motion to Suspend the Rules and Pass",414,5,13,0,432
524566,243062,2013-03-06,House,"On Ordering the Previous Question",227,188,16,0,431
524566,243063,2013-03-06,House,"On Agreeing to the Resolution",212,197,22,0,431
524580,266454,2013-04-16,House,"On Motion to Suspend the Rules and Pass, as Amended",406,11,15,0,432
525979,304399,2013-11-13,House,"On Agreeing to the Amendment",198,223,9,0,430
525979,304400,2013-11-13,House,"On Agreeing to the Amendment",194,226,10,0,430
525979,304401,2013-11-13,House,"On Agreeing to the Amendment",195,226,9,0,430
525979,304402,2013-11-13,House,"On Motion to Recommit with Instructions",197,224,9,0,430
525979,304403,2013-11-13,House,"On Passage",221,199,10,0,430
525991,303858,2013-10-30,House,"On Motion to Recommit with Instructions",190,223,17,0,430
525991,303859,2013-10-30,House,"On Passage",292,122,16,0,430
526032,375904,2014-07-22,House,"On Motion to Suspend the Rules and Pass, as Amended",260,143,29,0,432
526051,379927,2014-09-17,House,"On Motion to Suspend the Rules and Pass",419,0,12,0,431
527667,262007,2013-04-09,House,"On Motion to Suspend the Rules and Pass",283,122,26,0,431
527670,245328,2013-03-12,House,"On Motion to Suspend the Rules and Pass",397,17,17,0,431
530988,288386,2013-06-12,House,"On Motion to Suspend the Rules and Pass",423,0,11,0,434
532079,319294,2014-02-11,House,"On Passage",221,201,10,0,432
532079,320184,2014-02-12,Senate,"On the Cloture Motion S. 540",67,31,2,0,100
532079,320185,2014-02-12,Senate,"On the Motion (Motion to Concur in the House Amendment to S.540)",55,43,2,0,100
532123,247902,2013-03-13,House,"On Ordering the Previous Question",233,195,3,0,431
532123,247903,2013-03-13,House,"On Agreeing to the Resolution",233,194,4,0,431
532152,291583,2013-06-25,House,"On Motion to Suspend the Rules and Pass",392,3,39,0,434
532190,281760,2013-05-20,House,"On Motion to Suspend the Rules and Pass",390,3,40,0,433
532201,270857,2013-04-23,House,"On Motion to Suspend the Rules and Pass, as Amended",409,0,23,0,432
532202,270853,2013-04-23,House,"On Motion to Suspend the Rules and Pass",409,0,23,0,432
532211,280666,2013-05-17,House,"On Agreeing to the Amendment",233,163,37,0,433
532211,280667,2013-05-17,House,"On Agreeing to the Amendment",165,233,35,0,433
532211,280668,2013-05-17,House,"On Motion to Recommit with Instructions",179,217,37,0,433
532211,280669,2013-05-17,House,"On Passage",235,161,37,0,433
533638,250900,2013-03-19,House,"On Agreeing to the Resolution",272,136,23,0,431
533644,248764,2013-03-14,House,"On Ordering the Previous Question",225,191,15,0,431
533644,248765,2013-03-14,House,"On Agreeing to the Resolution",226,191,14,0,431
533730,328928,2014-02-25,House,"On Motion to Suspend the Rules and Pass, as Amended",295,114,21,0,430
533740,264771,2013-04-12,House,"On Motion to Recommit with Instructions",197,229,6,0,432
533740,264772,2013-04-12,House,"On Passage",219,209,4,0,432
533787,304917,2013-12-04,House,"On Agreeing to the Amendment",186,225,20,0,431
533787,304918,2013-12-04,House,"On Motion to Recommit with Instructions",185,227,19,0,431
533787,304919,2013-12-04,House,"On Passage",254,159,18,0,431
534464,286549,2013-06-03,House,"On Motion to Suspend the Rules and Pass",401,0,32,0,433
534467,304870,2013-12-03,House,"On Motion to Suspend the Rules and Pass, as Amended",411,3,17,0,431
534467,382579,2014-12-10,House,"On Motion to Suspend the Rules and Concur in the Senate Amendment",416,5,13,0,434
534518,296202,2013-07-08,House,"On Motion to Suspend the Rules and Pass",387,1,46,0,434
534531,266595,2013-04-16,House,"On Motion to Suspend the Rules and Pass",416,0,16,0,432
534532,265198,2013-04-15,House,"On Motion to Suspend the Rules and Pass, as Amended",408,0,24,0,432
534540,287999,2013-06-11,House,"On Motion to Suspend the Rules and Pass",409,0,25,0,434
534543,299331,2013-09-10,House,"On Motion to Suspend the Rules and Pass, as Amended",397,6,29,0,432
534548,289491,2013-06-18,House,"On Motion to Suspend the Rules and Pass",424,0,10,0,434
534712,252823,2013-03-21,Senate,"On the Motion to Recommit S.Con.Res. 8",46,53,1,0,100
534712,252824,2013-03-21,Senate,"On the Amendment S.Amdt. 433 to S.Con.Res. 8 (No short title on file)",40,59,1,0,100
534712,252825,2013-03-21,Senate,"On the Amendment S.Amdt. 297 to S.Con.Res. 8 (No short title on file)",79,20,1,0,100
534712,252826,2013-03-21,Senate,"On the Amendment S.Amdt. 432 to S.Con.Res. 8 (No short title on file)",96,3,1,0,100
534712,252827,2013-03-21,Senate,"On the Amendment S.Amdt. 156 to S.Con.Res. 8 (No short title on file)",45,54,1,0,100
534712,252828,2013-03-22,Senate,"On the Amendment S.Amdt. 158 to S.Con.Res. 8 (No short title on file)",45,54,1,0,100
534712,252829,2013-03-22,Senate,"On the Amendment S.Amdt. 202 to S.Con.Res. 8 (No short title on file)",45,54,1,0,100
534712,252830,2013-03-22,Senate,"On the Amendment S.Amdt. 439 to S.Con.Res. 8 (No short title on file)",99,0,1,0,100
534712,252831,2013-03-22,Senate,"On the Amendment S.Amdt. 222 to S.Con.Res. 8 (No short title on file)",45,54,1,0,100
534712,252832,2013-03-22,Senate,"On the Amendment S.Amdt. 438 to S.Con.Res. 8 (No short title on file)",56,43,1,0,100
534712,252833,2013-03-22,Senate,"On the Amendment S.Amdt. 630 to S.Con.Res. 8 (No short title on file)",44,55,1,0,100
534712,252834,2013-03-22,Senate,"On the Amendment S.Amdt. 651 to S.Con.Res. 8 (No short title on file)",49,50,1,0,100
534712,252835,2013-03-22,Senate,"On the Amendment S.Amdt. 409 to S.Con.Res. 8 (No short title on file)",68,31,1,0,100
534712,252836,2013-03-22,Senate,"On the Amendment S.Amdt. 646 to S.Con.Res. 8 (No short title on file)",41,58,1,0,100
534712,252837,2013-03-22,Senate,"On the Motion (Motion to Waive CBA Re: Blunt Amdt. No. 261)",53,46,1,0,100
534712,252838,2013-03-22,Senate,"On the Amendment S.Amdt. 622 to S.Con.Res. 8 (No short title on file)",33,66,1,0,100
534712,252839,2013-03-22,Senate,"On the Amendment S.Amdt. 494 to S.Con.Res. 8 (No short title on file)",62,37,1,0,100
534712,252840,2013-03-22,Senate,"On the Amendment S.Amdt. 515 to S.Con.Res. 8 (No short title on file)",39,60,1,0,100
534712,252841,2013-03-22,Senate,"On the Motion (Motion to Waive CBA Re: Rubio Amdt. No. 292)",48,51,1,0,100
534712,252842,2013-03-22,Senate,"On the Amendment S.Amdt. 138 to S.Con.Res. 8 (No short title on file)",68,31,1,0,100
534712,252843,2013-03-22,Senate,"On the Amendment S.Amdt. 693 to S.Con.Res. 8 (No short title on file)",80,19,1,0,100
534712,252844,2013-03-22,Senate,"On the Amendment S.Amdt. 307 to S.Con.Res. 8 (No short title on file)",46,53,1,0,100
534712,252845,2013-03-22,Senate,"On the Motion (Motion to Waive CBA Re: Burr Amdt. No. 697)",45,54,1,0,100
534712,252846,2013-03-22,Senate,"On the Amendment S.Amdt. 263 to S.Con.Res. 8 (No short title on file)",18,81,1,0,100
534712,252847,2013-03-22,Senate,"On the Amendment S.Amdt. 689 to S.Con.Res. 8 (No short title on file)",99,0,1,0,100
534712,252848,2013-03-22,Senate,"On the Amendment S.Amdt. 535 to S.Con.Res. 8 (No short title on file)",45,54,1,0,100
534712,252849,2013-03-22,Senate,"On the Amendment S.Amdt. 514 to S.Con.Res. 8 (No short title on file)",46,53,1,0,100
534712,252850,2013-03-22,Senate,"On the Amendment S.Amdt. 373 to S.Con.Res. 8 (No short title on file)",46,53,1,0,100
534712,252851,2013-03-22,Senate,"On the Amendment S.Amdt. 213 to S.Con.Res. 8 (No short title on file)",46,53,1,0,100
